time,value
1752851108.3693569,1
1752851108.4721801,1
1752851108.5746117,0
1752851108.6781085,-1
1752851108.7815726,0
1752851108.885075,1
1752851108.9884548,1
1752851109.0920942,-1
1752851109.1956897,-1
1752851109.2991736,0
1752851109.4028213,1
1752851109.506493,1
1752851109.6099489,-1
1752851109.7133927,-2
1752851109.816889,0
1752851109.920354,0
1752851110.023868,0
1752851110.127211,-1
1752851110.2305229,-1
1752851110.3340068,1
1752851110.4374108,1
1752851110.540854,0
1752851110.6441765,-1
1752851110.7475052,-1
1752851110.850952,0
1752851110.9544907,1
1752851111.0579603,0
1752851111.1613512,-1
1752851111.2647834,-1
1752851111.3682168,1
1752851111.4715612,1
1752851111.5750234,0
1752851111.6784713,-1
1752851111.7820134,-1
1752851111.88449,0
1752851111.9868953,1
1752851112.089376,1
1752851112.191781,-1
1752851112.2942748,-1
1752851112.3968086,-1
1752851112.4991996,0
1752851112.6016276,0
1752851112.7040346,1
1752851112.8064125,1
1752851112.9088316,0
1752851113.0113182,-1
1752851113.113707,-1
1752851113.2160752,0
1752851113.318541,0
1752851113.4218664,1
1752851113.525057,-1
1752851113.6284037,-1
1752851113.7315848,-1
1752851113.8350894,0
1752851113.9382262,0
1752851114.0416195,0
1752851114.144874,-1
1752851114.2479892,-1
1752851114.3515065,0
1752851114.4546716,1
1752851114.5578394,0
1752851114.6609528,-1
1752851114.7641215,-2
1752851114.8673136,0
1752851114.9704938,1
1752851115.0737283,1
1752851115.1770284,-1
1752851115.2803228,-1
1752851115.383627,0
1752851115.4867685,1
1752851115.5901978,1
1752851115.6933434,-1
1752851115.7968981,-1
1752851115.9001615,0
1752851116.003413,1
1752851116.1066873,1
1752851116.2099612,-1
1752851116.313131,-1
1752851116.4164634,0
1752851116.5195076,1
1752851116.6225185,1
1752851116.7258549,0
1752851116.8289962,-1
1752851116.9322727,-1
1752851117.035414,0
1752851117.138606,1
1752851117.2419238,0
1752851117.3450384,1095
1752851117.4484031,1716
1752851117.551512,1851
1752851117.654638,1951
1752851117.7579505,1986
1752851117.8610537,1881
1752851117.9642947,-2
1752851118.067419,0
1752851118.1705132,1
1752851118.2739131,1
1752851118.3770306,0
1752851118.4803998,-1
1752851118.5835323,0
1752851118.6868598,0
1752851118.7899494,0
1752851118.893277,0
1752851118.9963589,0
1752851119.0993986,0
1752851119.2027633,0
1752851119.3058596,0
1752851119.4090192,0
1752851119.5122683,0
1752851119.6154394,0
1752851119.718849,0
1752851119.821929,0
1752851119.9251134,0
1752851120.028478,-1
1752851120.1315746,-1
1752851120.2347503,0
1752851120.337895,1
1752851120.4411256,0
1752851120.5442264,0
1752851120.6475418,0
1752851120.750653,0
1752851120.85395,0
1752851120.9570782,1
1752851121.0602064,0
1752851121.163629,0
1752851121.266777,0
1752851121.3699355,0
1752851121.473044,1
1752851121.5761607,0
1752851121.6794763,0
1752851121.782645,0
1752851121.8859558,0
1752851121.988973,0
1752851122.092096,0
1752851122.1954854,0
1752851122.2986453,-1
1752851122.4017649,0
1752851122.5050998,0
1752851122.6082764,0
1752851122.7115755,0
1752851122.8146968,-1
1752851122.9179957,0
1752851123.0211256,0
1752851123.1241605,0
1752851123.2272553,0
1752851123.3307025,0
1752851123.433731,0
1752851123.5371482,1
1752851123.640254,1
1752851123.7433753,0
1752851123.8467417,0
1752851123.949844,0
1752851124.0530133,3
1752851124.1562407,2
1752851124.2593324,541
1752851124.3624732,1656
1752851124.4655955,1739
1752851124.5689821,1760
1752851124.6721017,1759
1752851124.7754033,611
1752851124.8785868,-1
1752851124.981921,9
1752851125.0851102,0
1752851125.1884725,1
1752851125.2928967,0
1752851125.3960016,-1
1752851125.4993343,-1
1752851125.6023676,0
1752851125.7057476,0
1752851125.8088357,0
1752851125.912123,-1
1752851126.015195,-1
1752851126.1182978,0
1752851126.2216861,1
1752851126.3247461,0
1752851126.4278915,-1
1752851126.5312505,-1
1752851126.6343384,0
1752851126.7377028,1
1752851126.8407829,0
1752851126.944069,0
1752851127.0471683,0
1752851127.1502314,0
1752851127.253517,0
1752851127.3566635,1
1752851127.4601498,0
1752851127.5632987,0
1752851127.6663864,0
1752851127.7695687,1
1752851127.872707,1
1752851127.975819,0
1752851128.0791948,-1
1752851128.1826224,0
1752851128.285756,1
1752851128.3889916,1
1752851128.4921083,1
1752851128.5953546,0
1752851128.6984313,-1
1752851128.8016531,1
1752851128.9048893,1
1752851129.008185,0
1752851129.1115048,-1
1752851129.214859,0
1752851129.3182914,1
1752851129.4214308,1
1752851129.5247607,1
1752851129.6279886,-1
1752851129.7313397,-1
1752851129.8345041,0
1752851129.9378548,1
1752851130.0409896,0
1752851130.1441467,-1
1752851130.2475085,-1
1752851130.3507717,0
1752851130.4538918,1
1752851130.557326,0
1752851130.6604764,0
1752851130.7639656,-1
